-1.100000 -1.089000 0.000000
-1.089000 -1.078000 0.000000
-1.078000 -1.067000 0.000000
-1.067000 -1.056000 0.000000
-1.056000 -1.045000 0.000000
-1.045000 -1.034000 0.000000
-1.034000 -1.023000 0.000000
-1.023000 -1.012000 0.000000
-1.012000 -1.001000 0.000000
-1.001000 -0.990000 0.000000
-0.990000 -0.979000 0.000000
-0.979000 -0.968000 0.000000
-0.968000 -0.957000 0.000000
-0.957000 -0.946000 0.000000
-0.946000 -0.935000 0.000000
-0.935000 -0.924000 0.000000
-0.924000 -0.913000 0.000000
-0.913000 -0.902000 0.000000
-0.902000 -0.891000 0.000000
-0.891000 -0.880000 0.000000
-0.880000 -0.869000 0.000000
-0.869000 -0.858000 0.000000
-0.858000 -0.847000 0.000000
-0.847000 -0.836000 0.000000
-0.836000 -0.825000 0.000000
-0.825000 -0.814000 0.000000
-0.814000 -0.803000 0.000000
-0.803000 -0.792000 0.000000
-0.792000 -0.781000 0.000000
-0.781000 -0.770000 0.000000
-0.770000 -0.759000 0.000000
-0.759000 -0.748000 0.000000
-0.748000 -0.737000 0.000000
-0.737000 -0.726000 0.000000
-0.726000 -0.715000 0.000000
-0.715000 -0.704000 0.000000
-0.704000 -0.693000 0.000000
-0.693000 -0.682000 0.000000
-0.682000 -0.671000 0.000000
-0.671000 -0.660000 0.000000
-0.660000 -0.649000 0.000000
-0.649000 -0.638000 0.000000
-0.638000 -0.627000 0.000000
-0.627000 -0.616000 0.000000
-0.616000 -0.605000 0.000000
-0.605000 -0.594000 0.000000
-0.594000 -0.583000 0.000000
-0.583000 -0.572000 0.000000
-0.572000 -0.561000 0.000000
-0.561000 -0.550000 0.000000
-0.550000 -0.539000 0.000000
-0.539000 -0.528000 0.000000
-0.528000 -0.517000 0.000000
-0.517000 -0.506000 0.000000
-0.506000 -0.495000 0.000000
-0.495000 -0.484000 0.000000
-0.484000 -0.473000 0.000000
-0.473000 -0.462000 0.000000
-0.462000 -0.451000 0.000000
-0.451000 -0.440000 0.000000
-0.440000 -0.429000 0.000000
-0.429000 -0.418000 0.000000
-0.418000 -0.407000 0.000000
-0.407000 -0.396000 0.000000
-0.396000 -0.385000 0.000000
-0.385000 -0.374000 0.000000
-0.374000 -0.363000 0.000000
-0.363000 -0.352000 0.000000
-0.352000 -0.341000 0.000000
-0.341000 -0.330000 0.000000
-0.330000 -0.319000 0.000000
-0.319000 -0.308000 0.000000
-0.308000 -0.297000 0.000000
-0.297000 -0.286000 0.000000
-0.286000 -0.275000 0.000000
-0.275000 -0.264000 0.000000
-0.264000 -0.253000 0.000000
-0.253000 -0.242000 0.000000
-0.242000 -0.231000 0.000000
-0.231000 -0.220000 0.000000
-0.220000 -0.209000 0.000000
-0.209000 -0.198000 0.000000
-0.198000 -0.187000 0.000000
-0.187000 -0.176000 0.000000
-0.176000 -0.165000 0.000000
-0.165000 -0.154000 0.000000
-0.154000 -0.143000 0.000000
-0.143000 -0.132000 0.000000
-0.132000 -0.121000 0.000000
-0.121000 -0.110000 0.000000
-0.110000 -0.099000 0.000000
-0.099000 -0.088000 0.000000
-0.088000 -0.077000 0.000000
-0.077000 -0.066000 0.000000
-0.066000 -0.055000 0.000000
-0.055000 -0.044000 0.000014
-0.044000 -0.033000 0.000048
-0.033000 -0.022000 0.000233
-0.022000 -0.011000 0.000497
-0.011000 0.000000 0.001216
0.000000 0.011000 0.002239
0.011000 0.022000 0.001912
0.022000 0.033000 0.002747
0.033000 0.044000 0.002829
0.044000 0.055000 0.003114
0.055000 0.066000 0.003193
0.066000 0.077000 0.004327
0.077000 0.088000 0.004273
0.088000 0.099000 0.004628
0.099000 0.110000 0.005324
0.110000 0.121000 0.005477
0.121000 0.132000 0.006295
0.132000 0.143000 0.006863
0.143000 0.154000 0.007318
0.154000 0.165000 0.007747
0.165000 0.176000 0.008872
0.176000 0.187000 0.009645
0.187000 0.198000 0.011426
0.198000 0.209000 0.012383
0.209000 0.220000 0.013412
0.220000 0.231000 0.015244
0.231000 0.242000 0.016911
0.242000 0.253000 0.018105
0.253000 0.264000 0.022036
0.264000 0.275000 0.022673
0.275000 0.286000 0.024934
0.286000 0.297000 0.028155
0.297000 0.308000 0.028869
0.308000 0.319000 0.032994
0.319000 0.330000 0.035289
0.330000 0.341000 0.040667
0.341000 0.352000 0.044263
0.352000 0.363000 0.046757
0.363000 0.374000 0.054189
0.374000 0.385000 0.059416
0.385000 0.396000 0.064995
0.396000 0.407000 0.073490
0.407000 0.418000 0.079149
0.418000 0.429000 0.087665
0.429000 0.440000 0.096884
0.440000 0.451000 0.104443
0.451000 0.462000 0.117724
0.462000 0.473000 0.131704
0.473000 0.484000 0.140664
0.484000 0.495000 0.156005
0.495000 0.506000 0.169632
0.506000 0.517000 0.189015
0.517000 0.528000 0.206483
0.528000 0.539000 0.225580
0.539000 0.550000 0.252940
0.550000 0.561000 0.275990
0.561000 0.572000 0.306933
0.572000 0.583000 0.331512
0.583000 0.594000 0.364002
0.594000 0.605000 0.402919
0.605000 0.616000 0.446455
0.616000 0.627000 0.490584
0.627000 0.638000 0.529933
0.638000 0.649000 0.578988
0.649000 0.660000 0.625749
0.660000 0.671000 0.716925
0.671000 0.682000 0.772020
0.682000 0.693000 0.835408
0.693000 0.704000 0.922829
0.704000 0.715000 1.021230
0.715000 0.726000 1.119510
0.726000 0.737000 1.216720
0.737000 0.748000 1.327630
0.748000 0.759000 1.459420
0.759000 0.770000 1.568320
0.770000 0.781000 1.723520
0.781000 0.792000 1.880260
0.792000 0.803000 2.040440
