1,3.8333,3.8333,1.1667,1,0
1,2.6667,3.5,0.83333,1.1667,0
1,3.8333,4.6667,1.8333,0.16667,0
1,3.3333,3.6667,0.33333,1.3333,0
1,2.5,3.8333,1.5,1.6667,0
1,4.6667,4.5,1.8333,3,0
1,4,3.8333,0.66667,0.5,0
1,3,2.5,3.1667,2.5,0
1,4.1667,4.3333,1,0.83333,0
1,3.6667,3,0,0.33333,0
1,4.3333,4.8333,1.5,1,0
1,5,4.1667,2.1667,0.83333,0
1,3.5,4,1.1667,0.5,0
1,3.3333,4.1667,0,0.83333,0
1,3,3.3333,0.16667,1,0
1,2,3.8333,0.33333,1.5,0
1,3.8333,4.8333,0.16667,0.33333,0
1,3.5,4.5,1.3333,1.1667,0
1,3.6667,4.5,0.83333,0.5,0
1,3.1667,2.8333,0.66667,0.83333,0
1,4.8333,4.3333,0.66667,1.8333,0
1,3.6667,4.5,2.3333,0,0
1,5,4.5,1.5,1.6667,0
1,2.5,2.1667,0.5,1.1667,0
1,5,3.8333,2.5,0,0
1,4.3333,4,2.8333,2,0
1,3.8333,3.1667,1.6667,0.66667,0
1,2.1667,3.1667,0.5,0,0
1,4.3333,4.5,0.66667,1.5,0
1,4,4.1667,0.16667,0.66667,0
1,4.3333,5,0.83333,0,0
1,5,4.8333,1.1667,0.83333,0
1,3.8333,4,0.16667,0.33333,0
1,4.1667,4.6667,1.1667,0.83333,0
1,2.6667,3.3333,3.1667,1.3333,0
1,3,4,1.3333,2.3333,0
1,2.3333,4,0,0.16667,0
1,4.5,4.1667,1,2.3333,0
1,4,5,1.1667,0.33333,0
1,3.5,4.1667,0.16667,0.66667,0
1,5,3.5,1.5,1,0
1,4,4.6667,0.5,0.5,0
1,4.6667,4.5,1.6667,0.66667,0
1,2.8333,3.3333,1.8333,0.33333,0
1,4.3333,3.6667,0.66667,0.33333,0
1,3,3.5,1,1.6667,0
1,3.6667,4.3333,0.16667,0.83333,0
1,2.3333,3.8333,1.1667,0.83333,0
1,2.1667,3.8333,0.5,0.33333,0
1,2.6667,4.6667,0.5,0,0
1,4.1667,4.5,1.1667,1,0
1,4.5,4.5,1.5,1.5,0
1,4.3333,5,0.83333,0.83333,0
1,5,5,1,1.6667,0
