0.0 18.6291848704
0.01 18.1262958505
0.02 17.6498938193
0.03 17.1984395978
0.04 16.7700316507
0.05 16.3620281273
0.06 15.973883203
0.07 15.6029054271
0.08 15.2500217215
0.09 14.9115920738
0.1 14.5890166641
0.11 14.2786586699
0.12 13.9823048525
0.13 13.6976794271
0.14 13.4247582763
0.15 13.1621980125
0.16 12.9100358797
0.17 12.6673709556
0.18 12.4328029196
0.19 12.207335761
0.2 11.9901886743
0.21 11.7801128536
0.22 11.5772797878
0.23 11.3818296645
0.24 11.192883506
0.25 11.0094033653
0.26 10.8323149792
0.27 10.6603866994
0.28 10.4947300725
0.29 10.3332881978
0.3 10.177593943
0.31 10.0257079991
0.32 9.87890246502
0.33 9.73595096807
0.34 9.59689073891
0.35 9.46213292464
0.36 9.33111728146
0.37 9.20350785134
0.38 9.07934903191
0.39 8.95902795059
0.4 8.84152485099
0.41 8.72657015382
0.42 8.61522813935
0.43 8.50637923978
0.44 8.40041193578
0.45 8.29737042122
0.46 8.19592527097
0.47 8.09768020446
0.48 8.00162502461
0.49 7.90768572347
0.5 7.81593267721
0.51 7.7264301515
0.52 7.63868711776
0.53 7.5533243045
0.54 7.46959136868
0.55 7.38783075067
0.56 7.30784752137
0.57 7.22933178844
0.58 7.1527381249
0.59 7.07751150125
0.6 7.00433777265
0.61 6.93207598871
0.62 6.8618778917
0.63 6.79263456315
0.64 6.72500531913
0.65 6.65849105475
0.66 6.59361457424
0.67 6.52977897038
0.68 6.46717181985
0.69 6.40575798962
0.7 6.34560829656
0.71 6.2865826904
0.72 6.22875111765
0.73 6.17157972795
0.74 6.11584522958
0.75 6.06082134688
0.76 6.00678085138
0.77 5.95369759301
0.78 5.90201893047
0.79 5.85058470981
0.8 5.80077484756
0.81 5.75108855288
0.82 5.70260471436
0.83 5.65502369669
0.84 5.60779720018
0.85 5.5618730783
0.86 5.51627216925
0.87 5.47183720058
0.88 5.42778318635
0.89 5.38443438361
0.9 5.34177397251
0.91 5.29986734362
0.92 5.2586156327
0.93 5.21800359048
0.94 5.17809547396
0.95 5.13879614732
0.96 5.1001696453
0.97 5.06212255482
0.98 5.02411523068
0.99 4.98734409242
1.0 4.95074049564
